Latitude (decimal degrees): 56.074
Longitude (decimal degrees): -3.189
Elevation (m): 67.0
month,year
1,2015
2,2008
3,2019
4,2019
5,2009
6,2019
7,2009
8,2019
9,2012
10,2006
11,2013
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,4.35,48.43,0.0,-0.0,0.0,21.23,5.01,231.0,100855.0
20150101:0100,5.37,54.24,0.0,-0.0,0.0,23.39,5.69,230.0,100796.0
20150101:0200,6.39,60.05,0.0,-0.0,0.0,25.54,6.36,226.0,100855.0
20150101:0300,7.41,65.87,0.0,-0.0,0.0,27.7,7.04,221.0,100825.0
20150101:0400,8.43,71.68,0.0,-0.0,0.0,29.86,7.71,222.0,100805.0
20150101:0500,9.45,77.5,0.0,-0.0,0.0,32.01,8.38,220.0,100736.0
20150101:0600,10.47,83.31,0.0,-0.0,0.0,34.17,9.06,217.0,100627.0
20150101:0700,11.49,89.13,0.0,-0.0,0.0,36.33,9.73,216.0,100597.0
20150101:0800,9.38,82.9,0.0,-0.0,0.0,5.2,8.07,212.0,100548.0
20150101:0900,9.38,82.9,3.0,0.0,3.0,1.9,7.86,210.0,100468.0
20150101:1000,9.83,82.95,22.0,0.0,22.0,6.35,8.76,206.0,100240.0
20150101:1100,10.06,86.0,64.0,23.68,60.0,4.8,9.31,204.0,100091.0
20150101:1200,10.52,86.05,37.0,0.0,37.0,3.45,10.48,204.0,99853.0
20150101:1300,11.16,89.3,36.0,0.0,36.0,6.35,10.9,210.0,99704.0
20150101:1400,11.75,86.2,26.0,0.0,26.0,4.25,10.55,213.0,99585.0
20150101:1500,11.83,89.35,7.0,0.0,7.0,2.9,9.31,211.0,99526.0
20150101:1600,11.75,89.35,0.0,-0.0,0.0,-0.75,9.17,208.0,99347.0
20150101:1700,11.71,89.35,0.0,-0.0,0.0,-0.35,9.52,210.0,99228.0
20150101:1800,11.88,89.35,0.0,-0.0,0.0,0.55,9.38,213.0,99099.0
20150101:1900,12.16,92.6,0.0,-0.0,0.0,-0.55,8.83,220.0,99030.0
20150101:2000,12.26,92.6,0.0,-0.0,0.0,2.1,8.14,231.0,99020.0
20150101:2100,11.22,86.15,0.0,-0.0,0.0,-1.9,8.69,254.0,99109.0
20150101:2200,9.81,86.0,0.0,-0.0,0.0,-10.45,9.31,256.0,99258.0
20150101:2300,8.88,79.85,0.0,-0.0,0.0,-23.4,10.07,247.0,99377.0
20150102:0000,7.54,82.65,0.0,-0.0,0.0,-5.4,10.76,257.0,99585.0
20150102:0100,6.32,76.55,0.0,-0.0,0.0,266.0,9.03,256.0,99784.0
20150102:0200,5.61,79.35,0.0,-0.0,0.0,-0.75,9.03,254.0,99962.0
20150102:0300,4.64,76.3,0.0,-0.0,0.0,-12.75,8.97,254.0,100121.0
20150102:0400,4.45,82.3,0.0,-0.0,0.0,10.8,8.69,250.0,100200.0
