,temp_air,ghi,dni,dhi,wind_speed
2022-01-01 00:00:00,4.35,0.0,-0.0,0.0,5.01
2022-01-01 01:00:00,5.37,0.0,-0.0,0.0,5.69
2022-01-01 02:00:00,6.39,0.0,-0.0,0.0,6.36
2022-01-01 03:00:00,7.41,0.0,-0.0,0.0,7.04
2022-01-01 04:00:00,8.43,0.0,-0.0,0.0,7.71
2022-01-01 05:00:00,9.45,0.0,-0.0,0.0,8.38
2022-01-01 06:00:00,10.47,0.0,-0.0,0.0,9.06
2022-01-01 07:00:00,11.49,0.0,-0.0,0.0,9.73
2022-01-01 08:00:00,9.38,0.0,-0.0,0.0,8.07
2022-01-01 09:00:00,9.38,3.0,0.0,3.0,7.86
2022-01-01 10:00:00,9.83,22.0,0.0,22.0,8.76
2022-01-01 11:00:00,10.06,64.0,23.68,60.0,9.31
2022-01-01 12:00:00,10.52,37.0,0.0,37.0,10.48
2022-01-01 13:00:00,11.16,36.0,0.0,36.0,10.9
2022-01-01 14:00:00,11.75,26.0,0.0,26.0,10.55
2022-01-01 15:00:00,11.83,7.0,0.0,7.0,9.31
2022-01-01 16:00:00,11.75,0.0,-0.0,0.0,9.17
2022-01-01 17:00:00,11.71,0.0,-0.0,0.0,9.52
2022-01-01 18:00:00,11.88,0.0,-0.0,0.0,9.38
2022-01-01 19:00:00,12.16,0.0,-0.0,0.0,8.83
2022-01-01 20:00:00,12.26,0.0,-0.0,0.0,8.14
2022-01-01 21:00:00,11.22,0.0,-0.0,0.0,8.69
2022-01-01 22:00:00,9.81,0.0,-0.0,0.0,9.31
2022-01-01 23:00:00,8.88,0.0,-0.0,0.0,10.07
2022-01-02 00:00:00,7.54,0.0,-0.0,0.0,10.76
2022-01-02 01:00:00,6.32,0.0,-0.0,0.0,9.03
2022-01-02 02:00:00,5.61,0.0,-0.0,0.0,9.03
2022-01-02 03:00:00,4.64,0.0,-0.0,0.0,8.97
2022-01-02 04:00:00,4.45,0.0,-0.0,0.0,8.69
2022-01-02 05:00:00,4.58,0.0,-0.0,0.0,9.38
2022-01-02 06:00:00,4.4,0.0,-0.0,0.0,9.1
2022-01-02 07:00:00,4.3,0.0,-0.0,0.0,8.69
2022-01-02 08:00:00,4.3,0.0,-0.0,0.0,8.28
2022-01-02 09:00:00,4.09,2.0,0.0,2.0,8.14
2022-01-02 10:00:00,4.17,40.0,17.27,38.0,8.76
2022-01-02 11:00:00,4.33,126.0,393.93,59.0,8.62
2022-01-02 12:00:00,4.09,152.0,482.39,60.0,9.17
2022-01-02 13:00:00,4.41,19.0,0.0,19.0,8.0
2022-01-02 14:00:00,4.73,85.0,320.55,44.0,8.62
2022-01-02 15:00:00,4.86,14.0,0.0,14.0,8.48
2022-01-02 16:00:00,4.53,0.0,-0.0,0.0,8.21
2022-01-02 17:00:00,4.29,0.0,-0.0,0.0,7.59
2022-01-02 18:00:00,4.19,0.0,-0.0,0.0,7.66
2022-01-02 19:00:00,4.39,0.0,-0.0,0.0,8.0
2022-01-02 20:00:00,4.46,0.0,-0.0,0.0,9.31
2022-01-02 21:00:00,4.63,0.0,-0.0,0.0,10.07
2022-01-02 22:00:00,4.99,0.0,-0.0,0.0,10.34
2022-01-02 23:00:00,5.03,0.0,-0.0,0.0,9.72
2022-01-03 00:00:00,5.38,0.0,-0.0,0.0,8.9
2022-01-03 01:00:00,5.73,0.0,-0.0,0.0,8.28
2022-01-03 02:00:00,5.88,0.0,-0.0,0.0,7.93
2022-01-03 03:00:00,5.81,0.0,-0.0,0.0,6.97
2022-01-03 04:00:00,5.54,0.0,-0.0,0.0,5.93
2022-01-03 05:00:00,4.89,0.0,-0.0,0.0,5.31
2022-01-03 06:00:00,4.43,0.0,-0.0,0.0,4.41
2022-01-03 07:00:00,3.9,0.0,-0.0,0.0,3.79
2022-01-03 08:00:00,3.52,0.0,-0.0,0.0,3.31
2022-01-03 09:00:00,3.57,8.0,0.0,8.0,3.03
2022-01-03 10:00:00,2.63,88.0,462.09,34.0,3.17
2022-01-03 11:00:00,3.14,129.0,402.6,60.0,3.17
2022-01-03 12:00:00,4.06,160.0,546.04,55.0,3.24
2022-01-03 13:00:00,4.68,139.0,465.89,56.0,3.45
2022-01-03 14:00:00,4.85,92.0,377.11,43.0,3.86
2022-01-03 15:00:00,4.38,15.0,0.0,15.0,3.45
2022-01-03 16:00:00,3.27,0.0,-0.0,0.0,3.24
2022-01-03 17:00:00,2.93,0.0,-0.0,0.0,3.66
2022-01-03 18:00:00,2.45,0.0,-0.0,0.0,3.79
2022-01-03 19:00:00,2.47,0.0,-0.0,0.0,3.79
2022-01-03 20:00:00,2.17,0.0,-0.0,0.0,3.72
2022-01-03 21:00:00,1.69,0.0,-0.0,0.0,3.79
2022-01-03 22:00:00,1.89,0.0,-0.0,0.0,3.86
2022-01-03 23:00:00,1.7,0.0,-0.0,0.0,3.66
2022-01-04 00:00:00,1.44,0.0,-0.0,0.0,3.38
2022-01-04 01:00:00,1.27,0.0,-0.0,0.0,3.38
2022-01-04 02:00:00,1.63,0.0,-0.0,0.0,3.52
2022-01-04 03:00:00,1.83,0.0,-0.0,0.0,3.66
2022-01-04 04:00:00,2.0,0.0,-0.0,0.0,3.66
2022-01-04 05:00:00,2.12,0.0,-0.0,0.0,3.79
2022-01-04 06:00:00,2.2,0.0,-0.0,0.0,4.34
2022-01-04 07:00:00,2.22,0.0,-0.0,0.0,4.76
2022-01-04 08:00:00,2.09,0.0,-0.0,0.0,4.69
2022-01-04 09:00:00,1.98,9.0,0.0,9.0,4.69
2022-01-04 10:00:00,2.37,79.0,330.45,40.0,5.17
2022-01-04 11:00:00,3.49,135.0,474.48,53.0,5.24
2022-01-04 12:00:00,4.44,162.0,551.56,55.0,5.52
2022-01-04 13:00:00,4.93,132.0,372.01,65.0,5.66
2022-01-04 14:00:00,5.1,22.0,0.0,22.0,6.28
2022-01-04 15:00:00,5.38,15.0,0.0,15.0,6.21
2022-01-04 16:00:00,5.59,0.0,-0.0,0.0,6.14
2022-01-04 17:00:00,5.91,0.0,-0.0,0.0,5.93
2022-01-04 18:00:00,6.37,0.0,-0.0,0.0,5.52
2022-01-04 19:00:00,6.4,0.0,-0.0,0.0,5.17
2022-01-04 20:00:00,6.35,0.0,-0.0,0.0,5.1
2022-01-04 21:00:00,6.66,0.0,-0.0,0.0,5.59
2022-01-04 22:00:00,6.44,0.0,-0.0,0.0,5.66
2022-01-04 23:00:00,6.54,0.0,-0.0,0.0,5.72
2022-01-05 00:00:00,6.82,0.0,-0.0,0.0,5.31
2022-01-05 01:00:00,6.69,0.0,-0.0,0.0,5.24
2022-01-05 02:00:00,6.64,0.0,-0.0,0.0,5.31
2022-01-05 03:00:00,6.67,0.0,-0.0,0.0,5.38
2022-01-05 04:00:00,6.84,0.0,-0.0,0.0,5.31
2022-01-05 05:00:00,7.09,0.0,-0.0,0.0,5.1
2022-01-05 06:00:00,7.43,0.0,-0.0,0.0,4.9
2022-01-05 07:00:00,7.58,0.0,-0.0,0.0,4.76
2022-01-05 08:00:00,7.91,0.0,-0.0,0.0,4.97
2022-01-05 09:00:00,8.05,3.0,0.0,3.0,5.24
2022-01-05 10:00:00,8.28,48.0,41.91,43.0,5.17
2022-01-05 11:00:00,8.93,84.0,80.28,70.0,5.24
2022-01-05 12:00:00,9.38,89.0,56.17,78.0,5.17
2022-01-05 13:00:00,9.84,84.0,60.38,73.0,5.24
2022-01-05 14:00:00,10.01,50.0,29.77,46.0,5.17
2022-01-05 15:00:00,9.87,8.0,0.0,8.0,5.17
2022-01-05 16:00:00,9.87,0.0,-0.0,0.0,4.9
2022-01-05 17:00:00,9.76,0.0,-0.0,0.0,5.1
2022-01-05 18:00:00,9.71,0.0,-0.0,0.0,5.31
2022-01-05 19:00:00,9.75,0.0,-0.0,0.0,5.59
2022-01-05 20:00:00,9.69,0.0,-0.0,0.0,5.93
2022-01-05 21:00:00,9.73,0.0,-0.0,0.0,5.93
