,0,,,,,,,,,,,,
31/01/2023,113.4061381,,,,,,,,,,,,
28/02/2023,164.536163,,,,,,,,,,,,
31/03/2023,296.5860121,,,,,,,,,,,,
30/04/2023,405.4679156,,,,,,,,,,,,
31/05/2023,516.0381646,113.4061381,164.536163,296.5860121,405.4679156,516.0381646,433.2163379,433.8968928,422.2979997,324.8565331,178.4268631,144.6136944,67.86134679
30/06/2023,433.2163379,,,,,,,,,,,,
31/07/2023,433.8968928,,,,,,,,,,,,
31/08/2023,422.2979997,,,,,,,,,,,,
30/09/2023,324.8565331,,,,,,,,,,,,
31/10/2023,178.4268631,,,,,,,,,,,,
30/11/2023,144.6136944,,,,,,,,,,,,
31/12/2023,67.86134679,,,,,,,,,,,,
